"contract_award_unique_key","total_obligated_amount","period_of_performance_start_date","period_of_performance_current_end_date","awarding_agency_name","awarding_sub_agency_name","recipient_name_raw","prime_award_base_transaction_description","naics_code","naics_description","recipient_city_name","recipient_county_name","recipient_state_name","city_local_government","county_local_government"
"CONT_AWD_HSCEOP07P00177_7012_-NONE-_-NONE-",3780,"2006-09-28","2007-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN JOAQUIN COUNTY OF (0531) 1409343","LEASE OF ""CLETS"" LINE/SYSTEM FROM STATE OF CALIFORNIA/ SAN JOAQUIN COUNTY","","","STOCKTON","SAN JOAQUIN","CALIFORNIA","f","f"
"CONT_AWD_HSCEOP07P00150_7012_-NONE-_-NONE-",3360,"2006-09-23","2007-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO (0529) 1394948","LEASE OF ""CLETS"" LINE/SYSTEM FROM STATE OF CALIFORNIA/SACREMENTO COUNTY","","","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","f"
"CONT_AWD_HSCEOP07P00068_7012_-NONE-_-NONE-",6120,"2006-11-09","2007-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN COUNTY OF","CLETS ACCESS REQUIRED FOR RAC BAKERSFIELD INVESTIGATION STAFF TO PROPERLY PROCESS CRIMINAL ALIENS,  SUBJECT TO AVAILABILITY OF FY07 FUNDING (CLE)","","","BAKERSFIELD","KERN","CALIFORNIA","f","f"
"CONT_AWD_HSCEOP06P01262_7012_-NONE-_-NONE-",2811,"2005-10-01","2006-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF VENTURA","ACCESS TO CALIFORNIA LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEM","","","VENTURA","VENTURA","CALIFORNIA","f","f"
"CONT_AWD_HSCEOP06P01157_7012_-NONE-_-NONE-",318,"2006-01-19","2006-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SCC DEH","ACCESS TO CJIC","","","SAN JOSE","SANTA CLARA","CALIFORNIA","f","f"
"CONT_AWD_HSCEOP06P01155_7012_-NONE-_-NONE-",935,"2005-10-01","2006-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SAN JOAQUIN","CLETS TELEPHONE LINE CHARGES","","","STOCKTON","SAN JOAQUIN","CALIFORNIA","f","f"
"CONT_AWD_HSCEOP06P01153_7012_-NONE-_-NONE-",1335,"2005-10-01","2006-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO (0529) 1252682","CLETS ACCESS","","","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","f"
"CONT_AWD_HSCEOP06P01149_7012_-NONE-_-NONE-",1530,"2005-10-01","2006-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN COUNTY OF","CRIMINAL LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEM ACCESS","","","BAKERSFIELD","KERN","CALIFORNIA","f","f"
"CONT_AWD_HSCENZ05PF00123_7012_-NONE-_-NONE-",4800,"2005-09-28","2006-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO (0529) 1252682","PROVIDE SERVICES FOR OPERATION OF CLETS MACHINE BY FPS SAN FRANCISCO","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","f"
"CONT_AWD_HSCEMD15P00062_7012_-NONE-_-NONE-",109907,"2015-06-11","2018-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::OT::IGF DATABASE SYSTEM ACCESS","922190","OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
